Date,Revenue,Earnings,Historical PE,Shares outstanding
1990,"6,917","-4,338",,"83,622,000.00"
1991,"6,233","-5,780",,"83,622,000.00"
1992,"5,212","-12,704",,"83,622,000.00"
1993,"12,714","-8,882",,"83,622,000.00"
1994,"7,443","-18,031",,"83,622,000.00"
1995,"23,636","-17,292",,"90,366,000.00"
1996,"30,009","-5,651",,"108,354,000.00"
1997,"35,340","-15,538",,"116,136,000.00"
1998,"33,146","21,478",,"120,726,000.00"
1999,"24,806","43,157",,"128,016,000.00"
2000,"21,900","57,408",,"146,866,000.00"
2001,"21,249","101,659",,"152,775,000.00"
2002,"18,413","145,403",,"154,391,000.00"
2003,"186,134","-875,097",,"330,410,000.00"
2004,"1,486,344","25,049",,"336,700,000.00"
2005,"1,617,004","160,511",,"339,961,000.00"
2006,"1,781,313","213,432",,"343,593,569.00"
